GATE_SB_SL: -2452.429><-297.6516><-1967.124><-784.3202><0><><48><35
SL_S11: 267.6611><-150.6704><341.0958><-292.8067><2><><48><35
SL_C14: 916.2878><-513.998><799.8684><-587.2645><1><><48><112
SL_C15: 1255.51><-729.5649><944.5416><-732.3238><0><><104><112
SL_WALL02: 1338.51><-996.1111><951.8516><-877.2508><0><><151><42
SL_WALL05: 1786.107><-951.1849><1266.734><-850.9611><0><><146><45
SL_S15: 2080.764><-1043.579><1576.211><-949.2403><0><><48><35
SL_ECNIUS01: -1163.205><-267.9341><-892.2773><-165.9291><2><Shoreline><101><72
SL_ECNIUS02: -524.449><-305.7853><-328.6964><-325.0914><2><Shoreline><48><35
SL_ECNIUS03: -806.689><-314.4251><-586.428><-189.5846><2><Shoreline><101><35
SL_AI: 2843.639><94.16642><2119.472><-3.411151><0><Looks to the Moon><98><35
SL_ROOF04: 2924.751><608.8264><2123.118><364.0769><1><Looks to the Moon><48><149
SL_MOONTOP: 2923.303><271.4116><2184.37><128.7616><1><Looks to the Moon><62><81
SL_ACCSHAFT: 3149.063><880.6005><2235.112><616.6917><1><Looks to the Moon><201><35
SL_ROOF03: 3204.667><1042.534><2240.651><743.7448><0><Looks to the Moon><216><78
SL_TEMPLE: 2693.855><1046.108><1996.98><747.7438><0><Looks to the Moon><107><78
SL_STOP: 2577.046><892.7736><2002.776><614.5516><0><><48><35
SL_ROOF01: 2083.793><994.9766><1366.94><753.4247><0><Looks to the Moon><306><35
SL_WALL06: 1562.152><1003.339><1246.105><727.5642><0><Looks to the Moon><48><62
SL_C16: 971.6144><416.8274><1104.141><1121.798><2><><152><35
SL_I02: 496.1961><365.7084><776.6646><1048.296><2><><154><70
SL_SCRUSHED: 552.0825><207.4506><906.7761><913.7339><2><><48><35
SL_B10: 188.5373><255.4848><662.5703><972.9096><2><><48><72
SL_B11: -13.24162><168.985><452.0934><953.6422><2><><96><35
SL_B02SAINT: -217.8858><74.09944><-19.51744><866.779><2><><209><37
OffScreenDen_SL: -1747.885><-156.9004><-1640.516><-194.2219><1><Shoreline><0><0
Connection: GATE_SB_SL,SL_D05,36,5,5,31,3,2
Connection: GATE_GW_SL,SL_A08,36,5,9,32,3,1
Connection: GATE_SL_MS,SL_ROOF03,2,9,209,24,2,0
Connection: GATE_MS_SL,SL_WALL05,2,9,130,21,2,0
Connection: GATE_MS_SL,SL_S15,11,5,16,27,3,2
Connection: GATE_SL_CL,SL_C16,2,9,133,20,2,3
Connection: GATE_SL_VS,SL_TUNNELA,40,23,10,30,0,2
Connection: SL_A08,SL_S07,4,18,29,18,2,0
Connection: SL_A08,SL_C12,47,15,2,17,0,2
Connection: SL_C12,SL_F01,143,17,6,58,0,2
Connection: SL_A14,SL_B02SAINT,23,33,31,13,1,3
Connection: SL_A14,SL_A17,2,4,44,4,2,0
Connection: SL_A14,SL_E03,40,4,5,4,0,2
Connection: SL_E03,SL_H03,230,30,57,8,1,3
Connection: SL_E03,SL_S11,173,9,22,17,3,1
Connection: SL_A02,SL_C01,10,28,40,76,3,0
Connection: SL_A02,SL_B02SAINT,35,28,12,30,3,3
Connection: SL_A02,SL_A17,7,10,8,27,3,1
Connection: SL_C01,SL_B01,9,53,42,16,3,3
Connection: SL_C01,SL_A13,24,21,16,33,3,1
Connection: SL_A13,SL_A04,16,2,28,31,3,1
Connection: SL_B01,SL_D06,3,29,194,14,3,3
Connection: SL_F01,SL_C08,189,62,27,112,3,1
Connection: SL_F01,SL_C02,171,22,14,9,3,3
Connection: SL_C02,SL_D06,55,18,24,22,3,3
Connection: SL_C02,SL_C10,102,15,30,112,3,1
Connection: SL_C02,SL_F02,158,8,3,57,3,3
Connection: SL_C10,SL_A10,49,30,3,18,0,2
Connection: SL_A10,SL_D02,44,18,4,63,0,2
Connection: SL_F02,SL_S05,64,64,9,19,3,2
Connection: SL_F02,SL_D06,62,64,113,31,3,3
Connection: SL_F02,SL_D04,127,49,24,62,3,3
Connection: SL_D04,SL_A12,34,63,10,31,3,1
Connection: SL_D04,SL_H02,70,61,31,66,3,3
Connection: SL_A12,SL_A04,27,3,21,31,3,1
Connection: SL_H02,SL_H03,180,51,38,11,3,3
Connection: SL_H02,SL_E02,78,11,44,30,3,0
Connection: SL_H03,SL_C09,425,23,4,17,0,2
Connection: SL_H03,SL_C07,143,31,20,112,3,1
Connection: SL_C09,SL_A16,151,32,43,3,1,3
Connection: SL_A16,SL_S10,4,26,30,26,2,0
Connection: SL_A16,SL_I01,43,13,4,62,0,2
Connection: SL_I01,SL_A15,144,66,3,21,0,2
Connection: SL_A15,SL_S06,43,32,31,20,1,0
Connection: SL_A15,SL_AI,44,3,2,30,0,1
Connection: SL_C08,SL_C05,42,42,6,31,0,2
Connection: SL_C05,SL_S09,155,31,13,31,0,2
Connection: SL_C05,SL_C04,159,20,4,28,0,2
Connection: SL_C04,SL_D01,26,112,12,58,1,3
Connection: SL_TUNNELA,SL_D02,245,14,4,18,0,2
Connection: SL_D01,SL_D02,82,63,23,145,3,1
Connection: SL_D01,SL_ECNIUS01,32,23,25,66,3,1
Connection: SL_D02,SL_D03,49,63,2,60,0,2
Connection: SL_D03,SL_A04,42,72,9,10,2,0
Connection: SL_D03,SL_A03,8,72,44,27,2,0
Connection: SL_D03,SL_A07,92,70,11,18,0,2
Connection: SL_A07,SL_E01,39,23,4,86,0,2
Connection: SL_A04,SL_S03,4,29,23,12,2,3
Connection: SL_A04,SL_A11,35,31,4,5,1,3
Connection: SL_E01,SL_B04,21,204,23,98,1,3
Connection: SL_E01,SL_C03,11,165,23,100,2,3
Connection: SL_E01,SL_A05,45,66,4,13,0,2
Connection: SL_B04,SL_C03,33,62,42,114,3,3
Connection: SL_C03,SL_A11,16,23,31,32,3,1
Connection: SL_A05,SL_ECNIUS02,4,30,44,6,2,0
Connection: SL_A05,SL_E02,42,29,7,30,0,2
Connection: SL_E02,SL_S08,240,32,35,10,1,3
Connection: SL_E02,SL_C07,248,18,1,28,0,2
Connection: SL_C07,SL_C14,46,28,3,95,0,2
Connection: SL_A03,SL_C06SAINT,3,30,141,27,2,0
Connection: SL_C06SAINT,SL_S04,92,30,24,13,0,3
Connection: SL_A06,SL_D05,2,17,201,16,2,0
Connection: SL_C14,SL_C15,43,19,4,91,0,2
Connection: SL_C15,SL_WALL02,17,8,13,31,3,1
Connection: SL_WALL02,SL_WALL05,146,34,21,21,0,2
Connection: SL_ECNIUS01,SL_ECNIUS03,94,16,3,13,0,2
Connection: SL_ECNIUS02,SL_ECNIUS03,3,22,95,25,2,0
Connection: SL_AI,SL_MOONTOP,76,32,27,13,1,3
Connection: SL_ROOF04,SL_ACCSHAFT,23,145,20,5,2,3
Connection: SL_ROOF04,SL_MOONTOP,31,11,27,75,3,1
Connection: SL_ACCSHAFT,SL_ROOF03,186,28,184,13,1,3
Connection: SL_ROOF03,SL_TEMPLE,7,50,103,49,2,0
Connection: SL_TEMPLE,SL_ROOF01,5,10,298,7,2,0
Connection: SL_TEMPLE,SL_STOP,39,8,24,20,3,0
Connection: SL_ROOF01,SL_WALL06,5,21,41,34,2,0
Connection: SL_C16,SL_I02,3,23,147,59,2,0
Connection: SL_I02,SL_B10,4,18,42,56,2,3
Connection: SL_I02,SL_SCRUSHED,74,12,12,30,3,1
Connection: SL_B10,SL_B11,6,4,89,16,2,3
Connection: SL_B11,SL_B02SAINT,44,5,198,28,3,1
