Palette: 6
batDepleteCyclesMin: 2
batDepleteCyclesMax: 7
batDepleteCyclesMaxIfLessThanTwoLeft: 3
batDepleteCyclesMaxIfLessThanFiveLeft: 4
overseersSpawnChance: 0.35
overseersMin: 3
overseersMax: 9
playerGuideOverseerSpawnChance: 0
pupSpawnChance: 0.1
GlacialWasteland: 1
Room_Attr: OE_RAIL02: Vulture-Forbidden,Scavenger-Like,BigSpider-Forbidden,SpitterSpider-Forbidden,SmallNeedleWorm-Avoid,BigNeedleWorm-Avoid,KingVulture-Forbidden,ScavengerElite-Like,
Room_Attr: OE_RAIL03: Vulture-Like,Scavenger-Stay,BigSpider-Forbidden,SpitterSpider-Forbidden,SmallNeedleWorm-Avoid,BigNeedleWorm-Avoid,KingVulture-Like,ScavengerElite-Stay,
Room_Attr: OE_TOWER10: Centipede-Avoid,RedCentipede-Avoid,Centiwing-Avoid,SmallCentipede-Avoid,Scavenger-Avoid,BigSpider-Avoid,SpitterSpider-Avoid,SmallNeedleWorm-Avoid,BigNeedleWorm-Avoid,ScavengerElite-Avoid,
Room_Attr: OE_SPIRE: Vulture-Avoid,Scavenger-Like,BigSpider-Forbidden,SpitterSpider-Forbidden,SmallNeedleWorm-Forbidden,BigNeedleWorm-Forbidden,KingVulture-Avoid,ScavengerElite-Like,
Room_Attr: OE_S04: BigSpider-Forbidden,SpitterSpider-Forbidden,SmallNeedleWorm-Forbidden,BigNeedleWorm-Forbidden,
Room_Attr: OE_TOWER03: Scavenger-Avoid,BigSpider-Avoid,SpitterSpider-Avoid,SmallNeedleWorm-Avoid,BigNeedleWorm-Avoid,ScavengerElite-Avoid,
Room_Attr: OE_TOWER01: Vulture-Forbidden,Scavenger-Avoid,BigSpider-Avoid,SpitterSpider-Avoid,SmallNeedleWorm-Avoid,BigNeedleWorm-Avoid,KingVulture-Forbidden,ScavengerElite-Avoid,
Room_Attr: OE_TOWER02: Vulture-Like,Scavenger-Avoid,BigSpider-Avoid,SpitterSpider-Avoid,SmallNeedleWorm-Avoid,BigNeedleWorm-Avoid,KingVulture-Like,
Room_Attr: OE_TOWER09: Vulture-Avoid,Centipede-Avoid,RedCentipede-Avoid,Centiwing-Avoid,SmallCentipede-Avoid,Scavenger-Avoid,BigSpider-Avoid,SpitterSpider-Avoid,SmallNeedleWorm-Avoid,BigNeedleWorm-Avoid,KingVulture-Avoid,ScavengerElite-Avoid,
Room_Attr: OE_TOWER14: Vulture-Forbidden,Scavenger-Avoid,BigSpider-Like,SpitterSpider-Like,SmallNeedleWorm-Avoid,BigNeedleWorm-Avoid,KingVulture-Forbidden,ScavengerElite-Avoid,
Room_Attr: OE_TOWER13: Vulture-Forbidden,Centipede-Like,RedCentipede-Like,Centiwing-Like,SmallCentipede-Like,Scavenger-Avoid,BigSpider-Like,SpitterSpider-Like,SmallNeedleWorm-Avoid,BigNeedleWorm-Avoid,KingVulture-Forbidden,ScavengerElite-Avoid,
Room_Attr: OE_TOWER12: Vulture-Forbidden,Scavenger-Avoid,BigSpider-Like,SpitterSpider-Like,SmallNeedleWorm-Avoid,BigNeedleWorm-Avoid,KingVulture-Forbidden,ScavengerElite-Avoid,
Room_Attr: OE_TOWER04: Scavenger-Like,BigSpider-Forbidden,SpitterSpider-Forbidden,SmallNeedleWorm-Avoid,BigNeedleWorm-Avoid,ScavengerElite-Like,
Room_Attr: OE_TOWER05: Vulture-Forbidden,Scavenger-Avoid,BigSpider-Forbidden,SpitterSpider-Forbidden,SmallNeedleWorm-Avoid,BigNeedleWorm-Avoid,KingVulture-Forbidden,ScavengerElite-Avoid,
Room_Attr: OE_TOWER06: BigSpider-Forbidden,SpitterSpider-Forbidden,SmallNeedleWorm-Avoid,BigNeedleWorm-Avoid,
Room_Attr: OE_S02: Vulture-Forbidden,KingVulture-Forbidden,
Room_Attr: OE_RUIN01: Vulture-Forbidden,Centipede-Avoid,RedCentipede-Avoid,Centiwing-Avoid,SmallCentipede-Avoid,Scavenger-Avoid,BigSpider-Forbidden,SpitterSpider-Forbidden,KingVulture-Forbidden,ScavengerElite-Avoid,
Room_Attr: OE_RUIN02: GreenLizard-Avoid,Vulture-Forbidden,Centipede-Avoid,RedCentipede-Avoid,Centiwing-Avoid,SmallCentipede-Avoid,Scavenger-Avoid,SmallNeedleWorm-Like,BigNeedleWorm-Like,KingVulture-Forbidden,ScavengerElite-Avoid,
Room_Attr: OE_RUIN03: GreenLizard-Like,Vulture-Forbidden,Centipede-Avoid,RedCentipede-Avoid,Centiwing-Avoid,SmallCentipede-Avoid,Scavenger-Avoid,SmallNeedleWorm-Avoid,BigNeedleWorm-Avoid,KingVulture-Forbidden,ScavengerElite-Avoid,
Room_Attr: OE_RUIN04: GreenLizard-Avoid,Vulture-Forbidden,Centipede-Avoid,RedCentipede-Avoid,Centiwing-Avoid,SmallCentipede-Avoid,Scavenger-Avoid,SmallNeedleWorm-Like,BigNeedleWorm-Like,KingVulture-Forbidden,
Room_Attr: OE_RUINFrontHall: GreenLizard-Like,Vulture-Forbidden,Centipede-Avoid,RedCentipede-Avoid,Centiwing-Avoid,SmallCentipede-Avoid,Scavenger-Avoid,SmallNeedleWorm-Avoid,BigNeedleWorm-Avoid,KingVulture-Forbidden,
Room_Attr: OE_RUINCourtYard: GreenLizard-Like,Centipede-Avoid,RedCentipede-Avoid,Centiwing-Avoid,SmallCentipede-Avoid,SmallNeedleWorm-Like,BigNeedleWorm-Like,
Room_Attr: OE_TOWER07: Vulture-Forbidden,Centipede-Like,RedCentipede-Like,Centiwing-Like,SmallCentipede-Like,Scavenger-Avoid,SmallNeedleWorm-Forbidden,BigNeedleWorm-Forbidden,KingVulture-Forbidden,ScavengerElite-Avoid,
Room_Attr: OE_CAVE08: Vulture-Forbidden,Scavenger-Avoid,SmallNeedleWorm-Forbidden,BigNeedleWorm-Forbidden,KingVulture-Forbidden,
Room_Attr: OE_CAVE02: Vulture-Forbidden,Centipede-Forbidden,RedCentipede-Forbidden,Centiwing-Forbidden,SmallCentipede-Forbidden,Scavenger-Forbidden,SmallNeedleWorm-Forbidden,BigNeedleWorm-Forbidden,KingVulture-Forbidden,ScavengerElite-Avoid,
Room_Attr: OE_CAVE03: Vulture-Forbidden,Centipede-Forbidden,RedCentipede-Forbidden,Centiwing-Forbidden,SmallCentipede-Forbidden,Scavenger-Forbidden,SmallNeedleWorm-Forbidden,BigNeedleWorm-Forbidden,KingVulture-Forbidden,ScavengerElite-Forbidden,
Room_Attr: OE_CAVE15: Vulture-Forbidden,Centipede-Stay,RedCentipede-Stay,Centiwing-Stay,SmallCentipede-Stay,Scavenger-Avoid,KingVulture-Forbidden,
Room_Attr: OE_CAVE16: Vulture-Forbidden,Centipede-Like,RedCentipede-Like,Centiwing-Like,SmallCentipede-Like,Scavenger-Avoid,KingVulture-Forbidden,
Room_Attr: OE_CAVE18: Vulture-Forbidden,Centipede-Avoid,RedCentipede-Avoid,Centiwing-Avoid,SmallCentipede-Avoid,Scavenger-Avoid,SmallNeedleWorm-Forbidden,BigNeedleWorm-Forbidden,KingVulture-Forbidden,ScavengerElite-Avoid,
Room_Attr: OE_RUIN16: Vulture-Forbidden,KingVulture-Forbidden,
Room_Attr: OE_RUIN17: Vulture-Forbidden,Centipede-Avoid,RedCentipede-Avoid,Centiwing-Avoid,SmallCentipede-Avoid,Scavenger-Like,SmallNeedleWorm-Avoid,BigNeedleWorm-Avoid,KingVulture-Forbidden,
Room_Attr: OE_RUIN18: Vulture-Forbidden,Centipede-Avoid,RedCentipede-Avoid,Centiwing-Avoid,SmallCentipede-Avoid,Scavenger-Like,SmallNeedleWorm-Avoid,BigNeedleWorm-Avoid,KingVulture-Forbidden,
Room_Attr: OE_RUIN10: Vulture-Forbidden,Centipede-Avoid,RedCentipede-Avoid,Centiwing-Avoid,SmallCentipede-Avoid,Scavenger-Like,KingVulture-Forbidden,
Room_Attr: OE_RUIN14: Centipede-Avoid,RedCentipede-Avoid,Centiwing-Avoid,SmallCentipede-Avoid,Scavenger-Like,SmallNeedleWorm-Like,BigNeedleWorm-Like,
Room_Attr: OE_MIDSHELTER: Vulture-Forbidden,Scavenger-Forbidden,KingVulture-Forbidden,
Room_Attr: OE_RUIN25: Vulture-Forbidden,Centipede-Avoid,RedCentipede-Avoid,Centiwing-Avoid,SmallCentipede-Avoid,Scavenger-Like,KingVulture-Forbidden,
Room_Attr: OE_CAVE17: Vulture-Forbidden,Scavenger-Avoid,SmallNeedleWorm-Forbidden,BigNeedleWorm-Forbidden,KingVulture-Forbidden,ScavengerElite-Avoid,
Room_Attr: OE_RUIN23: Vulture-Forbidden,Scavenger-Avoid,SmallNeedleWorm-Forbidden,BigNeedleWorm-Forbidden,KingVulture-Forbidden,ScavengerElite-Avoid,
Room_Attr: OE_RUIN15: Vulture-Forbidden,Centipede-Avoid,RedCentipede-Avoid,Centiwing-Avoid,SmallCentipede-Avoid,Scavenger-Like,KingVulture-Forbidden,
Room_Attr: OE_RUIN09: Vulture-Forbidden,Scavenger-Like,KingVulture-Forbidden,
Room_Attr: OE_RUIN11: Vulture-Forbidden,Scavenger-Like,KingVulture-Forbidden,
Room_Attr: OE_RUIN13: Vulture-Forbidden,Scavenger-Like,KingVulture-Forbidden,
Room_Attr: OE_RUIN21: Vulture-Forbidden,Scavenger-Like,KingVulture-Forbidden,
Room_Attr: OE_RUINBackHall: GreenLizard-Like,Vulture-Avoid,Scavenger-Like,SmallNeedleWorm-Avoid,BigNeedleWorm-Avoid,KingVulture-Avoid,
Room_Attr: OE_CAVE04: Vulture-Forbidden,Scavenger-Avoid,SmallNeedleWorm-Avoid,BigNeedleWorm-Avoid,KingVulture-Forbidden,ScavengerElite-Avoid,
Room_Attr: OE_CAVE05: Vulture-Forbidden,Scavenger-Avoid,SmallNeedleWorm-Avoid,BigNeedleWorm-Avoid,KingVulture-Forbidden,
Room_Attr: OE_RUIN19: Vulture-Avoid,Scavenger-Like,SmallNeedleWorm-Forbidden,BigNeedleWorm-Forbidden,KingVulture-Avoid,
Room_Attr: OE_RUIN22: Vulture-Forbidden,Scavenger-Like,KingVulture-Forbidden,
Room_Attr: OE_RUIN24: Scavenger-Like,
Room_Attr: OE_RUIN12: Vulture-Forbidden,Scavenger-Like,SmallNeedleWorm-Avoid,BigNeedleWorm-Avoid,KingVulture-Forbidden,
Room_Attr: OE_CAVE01: Vulture-Forbidden,Scavenger-Like,SmallNeedleWorm-Forbidden,BigNeedleWorm-Forbidden,KingVulture-Forbidden,ScavengerElite-Avoid,
Room_Attr: OE_S05x: Vulture-Forbidden,KingVulture-Forbidden,
Room_Attr: OE_RUIN05: Scavenger-Like,ScavengerElite-Like,
Room_Attr: OE_RUIN08: Vulture-Forbidden,Scavenger-Like,KingVulture-Forbidden,
Room_Attr: OE_FINAL01: PinkLizard-Forbidden,GreenLizard-Forbidden,BlueLizard-Forbidden,YellowLizard-Forbidden,WhiteLizard-Forbidden,RedLizard-Forbidden,BlackLizard-Forbidden,Salamander-Forbidden,CyanLizard-Forbidden,Vulture-Forbidden,CicadaA-Forbidden,CicadaB-Forbidden,Centiwing-Forbidden,Scavenger-Forbidden,KingVulture-Forbidden,MirosVulture-Forbidden,SpitLizard-Forbidden,
Room_Attr: OE_CAVE10: PinkLizard-Forbidden,GreenLizard-Forbidden,BlueLizard-Forbidden,YellowLizard-Forbidden,WhiteLizard-Forbidden,RedLizard-Forbidden,BlackLizard-Forbidden,Salamander-Forbidden,CyanLizard-Forbidden,Vulture-Forbidden,CicadaA-Forbidden,CicadaB-Forbidden,Centiwing-Forbidden,Scavenger-Forbidden,SmallNeedleWorm-Forbidden,BigNeedleWorm-Forbidden,KingVulture-Forbidden,MirosVulture-Forbidden,SpitLizard-Forbidden,
Room_Attr: OE_CAVE09: Vulture-Forbidden,Scavenger-Forbidden,SmallNeedleWorm-Forbidden,BigNeedleWorm-Forbidden,KingVulture-Forbidden,ScavengerElite-Avoid,
Room_Attr: OE_JUNGLE04: Vulture-Avoid,Scavenger-Forbidden,SmallNeedleWorm-Forbidden,BigNeedleWorm-Forbidden,KingVulture-Avoid,ScavengerElite-Forbidden,
Room_Attr: OE_CAVE11: Vulture-Forbidden,Scavenger-Forbidden,SmallNeedleWorm-Forbidden,BigNeedleWorm-Forbidden,KingVulture-Forbidden,
Room_Attr: OE_JUNGLE06: Vulture-Avoid,SmallNeedleWorm-Forbidden,BigNeedleWorm-Forbidden,KingVulture-Avoid,ScavengerElite-Forbidden,
Room_Attr: OE_JUNGLE05: Vulture-Avoid,SmallNeedleWorm-Forbidden,BigNeedleWorm-Forbidden,KingVulture-Avoid,ScavengerElite-Forbidden,
Room_Attr: OE_CAVE07: Vulture-Avoid,SmallNeedleWorm-Forbidden,BigNeedleWorm-Forbidden,KingVulture-Avoid,ScavengerElite-Avoid,
Room_Attr: OE_JUNGLE01: SmallNeedleWorm-Forbidden,BigNeedleWorm-Forbidden,
Room_Attr: OE_RUIN07: Vulture-Avoid,KingVulture-Avoid,
Room_Attr: OE_CAVE12: Vulture-Forbidden,KingVulture-Forbidden,
Room_Attr: OE_TREETOP: Vulture-Forbidden,SmallNeedleWorm-Avoid,BigNeedleWorm-Avoid,KingVulture-Forbidden,
Room_Attr: OE_JUNGLE02: Vulture-Avoid,SmallNeedleWorm-Avoid,BigNeedleWorm-Avoid,KingVulture-Avoid,
Room_Attr: OE_CAVE13: Vulture-Forbidden,Scavenger-Forbidden,SmallNeedleWorm-Forbidden,BigNeedleWorm-Forbidden,KingVulture-Forbidden,ScavengerElite-Forbidden,
Room_Attr: OE_TOWER08: Vulture-Forbidden,Scavenger-Avoid,SmallNeedleWorm-Forbidden,BigNeedleWorm-Forbidden,KingVulture-Forbidden,ScavengerElite-Avoid,
Room_Attr: OE_CAVE14: Vulture-Forbidden,SmallNeedleWorm-Forbidden,BigNeedleWorm-Forbidden,KingVulture-Forbidden,ScavengerElite-Forbidden,
Room_Attr: OE_JUNGLE03: Vulture-Avoid,KingVulture-Avoid,
Room_Attr: OE_FINAL02: Vulture-Forbidden,CicadaA-Forbidden,CicadaB-Forbidden,Centiwing-Forbidden,KingVulture-Forbidden,MirosVulture-Forbidden,
Room_Attr: OE_FINAL03: StandardGroundCreature-Forbidden,Slugcat-Forbidden,LizardTemplate-Forbidden,PinkLizard-Forbidden,GreenLizard-Forbidden,BlueLizard-Forbidden,YellowLizard-Forbidden,WhiteLizard-Forbidden,RedLizard-Forbidden,BlackLizard-Forbidden,Salamander-Forbidden,CyanLizard-Forbidden,Fly-Forbidden,Leech-Forbidden,SeaLeech-Forbidden,Snail-Forbidden,Vulture-Forbidden,GarbageWorm-Forbidden,LanternMouse-Forbidden,CicadaA-Forbidden,CicadaB-Forbidden,Spider-Forbidden,JetFish-Forbidden,BigEel-Forbidden,Deer-Forbidden,TubeWorm-Forbidden,DaddyLongLegs-Forbidden,BrotherLongLegs-Forbidden,TentaclePlant-Forbidden,PoleMimic-Forbidden,MirosBird-Forbidden,TempleGuard-Forbidden,Centipede-Forbidden,RedCentipede-Forbidden,Centiwing-Forbidden,SmallCentipede-Forbidden,Scavenger-Forbidden,Overseer-Forbidden,VultureGrub-Forbidden,EggBug-Forbidden,BigSpider-Forbidden,SpitterSpider-Forbidden,SmallNeedleWorm-Forbidden,BigNeedleWorm-Forbidden,DropBug-Forbidden,KingVulture-Forbidden,Hazer-Forbidden,MirosVulture-Forbidden,SpitLizard-Forbidden,EelLizard-Forbidden,MotherSpider-Forbidden,TerrorLongLegs-Forbidden,AquaCenti-Forbidden,HunterDaddy-Forbidden,FireBug-Forbidden,StowawayBug-Forbidden,ScavengerElite-Forbidden,Inspector-Forbidden,Yeek-Forbidden,BigJelly-Forbidden,
Room_Attr: OE_TEMP: StandardGroundCreature-Forbidden,Slugcat-Forbidden,LizardTemplate-Forbidden,PinkLizard-Forbidden,GreenLizard-Forbidden,BlueLizard-Forbidden,YellowLizard-Forbidden,WhiteLizard-Forbidden,RedLizard-Forbidden,BlackLizard-Forbidden,Salamander-Forbidden,CyanLizard-Forbidden,Fly-Forbidden,Leech-Forbidden,SeaLeech-Forbidden,Snail-Forbidden,Vulture-Forbidden,GarbageWorm-Forbidden,LanternMouse-Forbidden,CicadaA-Forbidden,CicadaB-Forbidden,Spider-Forbidden,JetFish-Forbidden,BigEel-Forbidden,Deer-Forbidden,TubeWorm-Forbidden,DaddyLongLegs-Forbidden,BrotherLongLegs-Forbidden,TentaclePlant-Forbidden,PoleMimic-Forbidden,MirosBird-Forbidden,TempleGuard-Forbidden,Centipede-Forbidden,RedCentipede-Forbidden,Centiwing-Forbidden,SmallCentipede-Forbidden,Scavenger-Forbidden,Overseer-Forbidden,VultureGrub-Forbidden,EggBug-Forbidden,BigSpider-Forbidden,SpitterSpider-Forbidden,SmallNeedleWorm-Forbidden,BigNeedleWorm-Forbidden,DropBug-Forbidden,KingVulture-Forbidden,Hazer-Forbidden,MirosVulture-Forbidden,SpitLizard-Forbidden,EelLizard-Forbidden,MotherSpider-Forbidden,TerrorLongLegs-Forbidden,AquaCenti-Forbidden,HunterDaddy-Forbidden,FireBug-Forbidden,StowawayBug-Forbidden,ScavengerElite-Forbidden,Inspector-Forbidden,Yeek-Forbidden,BigJelly-Forbidden,
Room_Attr: OE_PUMP01: Vulture-Forbidden,Scavenger-Forbidden,KingVulture-Forbidden,
Room_Attr: OE_PUMP02: Vulture-Forbidden,Scavenger-Forbidden,KingVulture-Forbidden,
Room_Attr: OE_PUMP03: Vulture-Forbidden,Scavenger-Forbidden,KingVulture-Forbidden,
Room_Attr: OE_S03: Vulture-Forbidden,Scavenger-Forbidden,KingVulture-Forbidden,
Room_Attr: OE_PUMP04: Vulture-Forbidden,Scavenger-Forbidden,KingVulture-Forbidden,
